pause_sec,log_pause,rms_before,rms_after,rms_ratio,energy_slope,rate_before,rate_after,rate_delta,vowel_energy_ratio,spectral_flux,pitch_mean,pitch_drop,voiced_fraction,y,source
0.0,-4.6051702,0.038323395,0.025998175,0.67838895,-0.012987911,0.0,0.0,0.0,0.3,0.0064419094,0.73749995,0.41500002,0.0,0,cv_0
0.07,-2.5257287,0.019641334,1.9975252e-05,0.0010170003,-0.01860728,0.5,0.0,-0.5,0.25,0.0068637016,0.35500002,-0.109999985,0.5,0,cv_0
0.0,-4.6051702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0,cv_0
0.0,-4.6051702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0,cv_0
0.0,-4.6051702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0,cv_0
0.06,-2.65926,0.00035182756,0.0,0.0,-0.0004010097,0.55,0.0,-0.55,0.55,6.0249225e-05,0.6,-0.18,0.55,1,cv_0
0.0,-4.6051702,0.0075254436,0.04076611,5.4170966,0.0027792868,0.35,0.4,0.050000012,0.1,0.004357345,0.6875,0.515,0.35,0,cv_0
0.0,-4.6051702,0.13978526,0.207075,1.4813792,0.07857309,0.4,0.9,0.49999997,0.25,0.034785006,0.47,0.00999999,0.4,0,cv_0
0.0,-4.6051702,0.11476502,0.21198706,1.84714,0.08183812,0.55,0.9,0.34999996,0.15,0.024489079,0.7875,0.41500002,0.55,0,cv_0
0.16,-1.7719568,0.08552648,0.13468806,1.5748111,-0.1306223,0.2,0.9,0.7,0.15,0.017675646,0.285,-0.15000002,0.2,0,cv_0
0.0,-4.6051702,0.059149746,0.16786247,2.8379233,0.08728253,0.45,1.0,0.55,0.1,0.013558149,0.81,0.24000001,0.45,0,cv_0
0.0,-4.6051702,0.10604619,0.09130842,0.8610249,-0.06524625,0.6,1.0,0.39999998,0.3,0.023997597,0.435,0.04000002,0.6,0,cv_0
0.0,-4.6051702,0.08332245,0.092683464,1.1123468,0.07731598,0.35,0.7,0.35,0.1,0.017876085,0.735,0.52,0.35,0,cv_0
0.0,-4.6051702,0.048530776,0.1151506,2.372733,0.10140353,0.4,0.8,0.4,0.25,0.009880131,0.6875,-0.13499999,0.4,0,cv_0
0.0,-4.6051702,0.055599082,0.08843645,1.5906096,-0.009765722,0.3,0.5,0.19999999,0.15,0.01599739,0.77,0.36,0.3,0,cv_0
0.0,-4.6051702,0.04782036,0.044167142,0.9236052,-0.011114293,0.45,0.5,0.050000012,0.1,0.00913542,0.6375,0.10500002,0.45,0,cv_0
0.0,-4.6051702,0.13471654,0.20018692,1.4859861,0.14653966,0.55,0.8,0.25,0.25,0.0334915,0.74,0.43,0.55,0,cv_0
0.08,-2.4079456,0.044610087,0.0012560645,0.028156506,-0.07651459,0.6,0.0,-0.6,0.25,0.008078898,0.72,0.060000002,0.6,0,cv_0
0.0,-4.6051702,0.04732368,0.014818292,0.3131263,-0.019496607,0.0,0.0,0.0,0.2,0.008326755,0.8375,0.28500003,0.0,0,cv_0
0.0,-4.6051702,0.13629939,0.0068124384,0.049981426,-0.091805376,0.0,0.0,0.0,0.5,0.026352838,0.44,-0.20000002,0.0,0,cv_0
0.13,-1.9661129,0.0011635179,0.00046498934,0.39963743,-0.00084494776,0.15,0.0,-0.15,0.35,0.00022304543,0.78,0.16000003,0.15,0,cv_0
0.0,-4.6051702,0.00019403313,0.0,0.0,-6.0168608e-05,0.0,0.0,0.0,0.5,4.694437e-05,0.22999999,0.059999987,0.0,1,cv_0
0.0,-4.6051702,0.0005543246,0.00033216152,0.59920764,-0.0003262714,0.0,0.0,0.0,0.5,0.0001028812,0.5375,0.515,0.0,0,cv_0
0.02,-3.506558,0.0924987,0.07045168,0.76165044,0.063063055,0.3,0.2,-0.10000001,0.25,0.03265849,0.3475,-0.004999995,0.3,0,cv_0
0.0,-4.6051702,0.09692093,0.09954549,1.0270793,-0.010340791,0.0,0.0,0.0,0.3,0.013987819,0.365,0.02000001,0.0,0,cv_0
0.03,-3.218876,0.09063928,0.090887785,1.0027416,0.07614946,0.2,0.1,-0.1,0.3,0.02261623,0.36,-0.08000001,0.2,0,cv_0
0.08,-2.4079456,0.049258415,0.0013098039,0.026590453,-0.0860926,0.6,0.0,-0.6,0.5,0.0054433034,0.4675,0.014999986,0.6,0,cv_0
0.04,-2.9957323,0.100198366,0.05616251,0.5605132,0.046762448,0.55,0.5,-0.050000012,0.35,0.018461898,0.39249998,-0.005000025,0.55,0,cv_0
0.12,-2.040221,0.06507794,0.09073843,1.3943038,-0.14125602,0.4,0.7,0.29999998,0.1,0.014422119,0.67,0.63,0.4,0,cv_0
0.08,-2.4079456,0.077032275,0.048043318,0.62367773,-0.14236243,0.6,0.3,-0.3,0.45,0.009990606,0.4875,0.025000006,0.6,0,cv_0
0.0,-4.6051702,0.09242268,0.054867484,0.59365815,0.10978927,0.75,0.6,-0.14999998,0.5,0.012415219,0.6975,0.465,0.75,0,cv_0
0.0,-4.6051702,0.06304609,0.10994241,1.7438415,-0.04371331,0.0,0.3,0.3,0.4,0.008393186,0.4525,0.0150000155,0.0,0,cv_0
0.06,-2.65926,0.050881244,0.00079063786,0.015538882,-0.073852025,0.7,0.0,-0.7,0.5,0.0073758573,0.7125,0.465,0.7,0,cv_0
0.0,-4.6051702,0.08009835,0.10618464,1.3256781,0.12916788,0.65,1.0,0.35000002,0.45,0.01068167,0.415,0.00999999,0.65,0,cv_0
0.0,-4.6051702,0.077698745,0.059700664,0.7683607,0.00813746,0.0,0.0,0.0,0.6,0.005010746,0.4075,-0.045000017,0.0,0,cv_0
0.0,-4.6051702,0.03315521,0.016965369,0.5116952,-0.0021399055,0.35,0.2,-0.14999999,0.2,0.0080788,0.4375,0.004999995,0.35,0,cv_0
0.0,-4.6051702,0.0744342,0.00425141,0.057116345,0.010560275,0.0,0.0,0.0,0.65,0.0072728405,0.6825,0.495,0.0,0,cv_0
0.17,-1.7147983,0.022887131,0.018194074,0.79494745,-0.031522356,0.15,0.2,0.049999997,0.1,0.0039264956,0.5125,-0.004999995,0.15,0,cv_0
0.17999999,-1.6607312,0.0016851655,0.00031804084,0.18872862,-0.0024365126,0.1,0.0,-0.1,0.05,0.00038897578,0.7025,0.465,0.1,0,cv_0
0.0,-4.6051702,0.0003115177,0.00023408534,0.75141096,-0.00019718168,0.0,0.0,0.0,0.3,4.5869525e-05,0.215,0.030000001,0.0,0,cv_0
0.0,-4.6051702,0.00013836107,0.0,0.0,-0.00015872405,0.0,0.0,0.0,0.75,2.1855576e-05,0.22,0.00999999,0.0,1,cv_0
0.14,-1.89712,0.00044958998,0.00034009948,0.75644904,-0.00023026044,0.05,0.0,-0.05,0.15,0.00012283777,0.5875,0.745,0.05,0,cv_0
0.0,-4.6051702,0.034166895,0.1303908,3.8162892,0.037131518,0.7,1.0,0.3,0.1,0.008099931,0.65,0.62,0.7,0,cv_0
0.0,-4.6051702,0.027331594,0.043763872,1.6012186,-0.019563053,0.25,0.6,0.35000002,0.1,0.0064455383,0.2425,0.00500001,0.25,0,cv_0
0.13,-1.9661129,0.0296037,0.037894532,1.2800603,-0.065532975,0.35,0.3,-0.049999982,0.1,0.004779598,0.28,-0.01999998,0.35,0,cv_0
0.14,-1.89712,0.058972105,0.07992664,1.3553294,-0.09819043,0.25,0.5,0.25,0.15,0.016163634,0.305,0.02000001,0.25,0,cv_0
0.0,-4.6051702,0.05266379,0.07083988,1.3451343,-0.031500146,0.0,0.0,0.0,0.2,0.007267922,0.27249998,-0.0150000155,0.0,0,cv_0
0.17,-1.7147983,0.03422524,0.028337205,0.8279619,0.009943963,0.05,0.0,-0.05,0.15,0.010630931,0.32,0.19,0.05,0,cv_0
0.01,-3.912023,0.00054870755,0.00020918316,0.3812219,-0.0005898266,0.4,0.0,-0.4,0.15,0.00016729736,0.7875,0.39500004,0.4,0,cv_0
0.0,-4.6051702,4.953571e-05,0.0,0.0,-1.4574661e-05,0.0,0.0,0.0,0.3,9.649869e-06,0.8725,-0.004999995,0.0,1,cv_0
0.0,-4.6051702,0.00028151946,0.00028128727,0.99913967,-2.2127953e-05,0.0,0.0,0.0,0.15,7.5510005e-05,0.5925,0.72499996,0.0,0,cv_0
0.0,-4.6051702,0.00056820054,0.014858552,26.149729,-6.713867e-05,0.15,0.9,0.75,0.1,0.00017760352,0.2525,0.024999991,0.15,0,cv_0
0.0,-4.6051702,0.019861862,0.01392286,0.7009843,0.005665817,0.0,0.0,0.0,0.85,0.0046255654,0.7875,0.39500004,0.0,0,cv_0
0.0,-4.6051702,6.484761e-05,4.69998e-05,0.72466135,-1.0987339e-05,0.0,0.0,0.0,0.6,1.1195482e-05,0.5575,0.044999957,0.0,0,cv_0
0.099999994,-2.207275,0.023712855,0.02278193,0.9607414,-0.020629274,0.3,0.3,0.0,0.15,0.0051298295,0.96000004,0.030000031,0.3,0,cv_0
0.0,-4.6051702,0.015061174,0.019483982,1.2936554,0.0020081215,0.0,0.0,0.0,0.45,0.0048628757,0.5925,-0.005000055,0.0,0,cv_0
0.0,-4.6051702,0.021535601,0.0062079714,0.2882654,-0.011756593,0.0,0.0,0.0,0.4,0.008663572,0.63,0.73,0.0,0,cv_0
0.16,-1.7719568,0.000114302355,0.0021208064,18.55273,-0.00017746775,0.2,0.8,0.6,0.05,2.1576447e-05,0.7125,-0.29500002,0.2,0,cv_0
0.0,-4.6051702,0.031507254,0.01957245,0.6212043,0.011063173,0.0,0.0,0.0,0.55,0.0067815003,0.5775,0.735,0.0,0,cv_0
0.0,-4.6051702,0.008376633,0.0078123775,0.9326382,-0.010231308,0.45,0.7,0.25,0.25,0.0029824402,0.515,-0.07000002,0.45,0,cv_0
0.0,-4.6051702,0.02167424,0.012405399,0.5723566,0.03456421,0.6,0.6,0.0,0.35,0.004545964,0.885,0.07999998,0.6,0,cv_0
0.0,-4.6051702,5.050932e-05,0.009238256,182.8658,1.2699513e-05,0.0,1.0,1.0,0.65,9.703764e-06,0.7175,0.315,0.0,0,cv_0
0.0,-4.6051702,0.021812776,0.01544074,0.70787567,-0.0028687844,0.0,0.0,0.0,0.25,0.007629343,0.77750003,0.315,0.0,0,cv_0
0.0,-4.6051702,0.01442895,0.0105396435,0.73045063,0.014975917,0.55,0.6,0.050000012,0.1,0.0067378706,0.45000002,-0.43,0.55,0,cv_0
0.13,-1.9661129,0.00540656,5.5208857e-05,0.010211439,-0.010336399,0.3,0.0,-0.3,0.05,0.0017391355,0.5975,0.77500004,0.3,0,cv_0
0.0,-4.6051702,0.006044384,0.0,0.0,-0.0023063272,0.0,0.0,0.0,0.45,0.0021561622,0.575,0.00999999,0.0,1,cv_0
0.13,-1.9661129,0.014032507,0.006405035,0.45644233,-0.014900648,0.1,0.0,-0.1,0.2,0.003862937,0.6075,0.735,0.1,0,cv_0
0.0,-4.6051702,0.30314207,0.25710535,0.8481348,-0.096754625,0.0,0.0,0.0,0.6,0.07017568,0.59749997,-0.065,0.0,0,cv_0
0.0,-4.6051702,0.2955,0.16056834,0.5433785,-0.02186392,0.0,0.0,0.0,0.9,0.035294622,0.715,0.0,0.0,0,cv_0
0.08,-2.4079456,0.12347214,0.24953727,2.0210006,-0.1266264,0.2,0.7,0.5,0.2,0.028240765,0.845,-0.02000004,0.2,0,cv_0
0.089999996,-2.3025851,0.22679105,0.15630926,0.68922144,-0.067834735,0.1,0.0,-0.1,0.3,0.068162866,0.605,0.060000002,0.1,0,cv_0
0.0,-4.6051702,0.14752863,0.2664677,1.8062098,0.07469253,0.6,1.0,0.39999998,0.35,0.0330115,0.885,0.060000002,0.6,0,cv_0
0.0,-4.6051702,0.276876,0.16339915,0.5901528,-0.19764063,0.0,0.0,0.0,0.5,0.040955815,0.7975,0.265,0.0,0,cv_0
0.0,-4.6051702,0.20310618,0.22633381,1.1143619,-0.27255058,0.45,1.0,0.55,0.4,0.03765339,0.745,-0.060000002,0.45,0,cv_0
0.0,-4.6051702,0.20499578,0.23679203,1.1551068,0.035269067,0.0,0.0,0.0,0.65,0.03536785,0.895,-0.07999998,0.0,0,cv_0
0.0,-4.6051702,0.17351615,0.1393435,0.80305773,0.06174772,0.0,0.0,0.0,0.35,0.051508684,0.9475,0.004999995,0.0,0,cv_0
0.13,-1.9661129,0.045335285,0.010894317,0.24030541,-0.06537016,0.3,0.0,-0.3,0.05,0.016326979,0.65999997,-0.06999999,0.3,0,cv_0
0.0,-4.6051702,0.0069915326,0.0048467834,0.6932352,0.00028112403,0.0,0.0,0.0,0.15,0.002448665,0.6275,-0.014999986,0.0,0,cv_0
0.0,-4.6051702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1,cv_0
0.0,-4.6051702,0.0,0.009676348,967634.9,0.0,0.0,0.6,0.6,0.0,0.0,0.2,0.0,0.0,0,cv_0
0.0,-4.6051702,0.037811674,0.08540348,2.2586532,-0.038254607,0.25,1.0,0.75,0.2,0.007910851,0.52,-0.15000004,0.25,0,cv_0
0.0,-4.6051702,0.048500534,0.011042756,0.22768313,0.09269272,0.5,0.1,-0.4,0.2,0.0101995105,0.5975,0.004999995,0.5,0,cv_0
0.07,-2.5257287,0.05229677,0.026297355,0.50284845,-0.11051585,0.6,0.5,-0.100000024,0.25,0.009844541,0.765,0.41000003,0.6,0,cv_0
0.11,-2.1202636,0.019972794,1.6771206e-05,0.00083970214,-0.042875342,0.45,0.0,-0.45,0.3,0.0037838954,0.46499997,-0.09,0.45,0,cv_0
0.0,-4.6051702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0,cv_0
0.0,-4.6051702,0.0011122341,0.0,0.0,-0.0011584038,0.0,0.0,0.0,0.55,0.00027013043,0.695,-0.00999999,0.0,1,cv_0
0.17999999,-1.6607312,0.004216398,0.0017964725,0.42606705,-0.0045757825,0.05,0.0,-0.05,0.05,0.0018409482,0.48,0.45,0.05,0,cv_0
0.0,-4.6051702,0.0016609507,0.02883873,17.36268,0.00031434945,0.0,0.3,0.3,0.2,0.00036633405,0.70500004,-0.04000002,0.0,0,cv_0
0.0,-4.6051702,0.18761584,0.19631197,1.0463506,0.14891702,0.75,1.0,0.25,0.3,0.035178706,0.8375,0.22499996,0.75,0,cv_0
0.0,-4.6051702,0.14613716,0.115515195,0.79045725,-0.014952646,0.0,0.0,0.0,0.45,0.025101213,0.655,-0.22999996,0.0,0,cv_0
0.0,-4.6051702,0.09046512,0.15375708,1.6996281,0.13229452,0.35,0.8,0.45000002,0.2,0.012605245,0.6375,0.605,0.35,0,cv_0
0.0,-4.6051702,0.12578222,0.04178908,0.33223358,0.038690038,0.0,0.0,0.0,0.4,0.018882718,0.6875,0.024999976,0.0,0,cv_0
0.0,-4.6051702,0.06195714,0.26857126,4.33479,0.04469171,0.45,1.0,0.55,0.15,0.011452031,0.8425,0.17500001,0.45,0,cv_0
0.11,-2.1202636,0.1501476,0.10000589,0.66605043,-0.23249312,0.45,0.3,-0.14999998,0.15,0.031330366,0.5675,0.004999995,0.45,0,cv_0
0.0,-4.6051702,0.03576838,0.07684016,2.1482701,-0.017697422,0.2,1.0,0.8,0.1,0.013456794,0.585,0.69,0.2,0,cv_0
0.0,-4.6051702,0.0587075,0.062552534,1.0654945,-0.0012081314,0.0,0.0,0.0,0.25,0.013563204,0.25,0.08999999,0.0,0,cv_0
0.14,-1.89712,0.006415737,0.0017167929,0.26759052,-0.01220418,0.3,0.0,-0.3,0.15,0.0010379674,0.7875,0.29500002,0.3,0,cv_0
0.08,-2.4079456,0.0022898482,0.0015163707,0.6622116,0.0002845326,0.05,0.0,-0.05,0.05,0.00074126147,0.6775,-0.004999995,0.05,0,cv_0
0.0,-4.6051702,9.4642855e-05,0.0,0.0,-5.7399568e-05,0.0,0.0,0.0,0.15,3.036579e-05,0.67,0.52,0.0,1,cv_0
0.0,-4.6051702,0.03934468,0.047507506,1.2074693,0.06105473,0.5,0.7,0.19999999,0.25,0.007666486,0.5675,0.17499998,0.5,0,cv_0
0.12,-2.040221,0.10037392,0.15033053,1.497705,-0.1730074,0.4,0.8,0.4,0.35,0.0123753445,0.6925,0.56500006,0.4,0,cv_0
0.0,-4.6051702,0.17695284,0.1682386,0.9507538,-0.058285,0.0,0.0,0.0,0.7,0.012926696,0.40249997,0.034999996,0.0,0,cv_0
0.0,-4.6051702,0.07851152,0.060900338,0.77568656,0.013928179,0.6,0.3,-0.3,0.2,0.030182509,0.735,0.51,0.6,0,cv_0
0.0,-4.6051702,0.10530696,0.10200468,0.9686413,-0.01761541,0.7,1.0,0.3,0.3,0.027526466,0.58500004,0.050000012,0.7,0,cv_0
0.0,-4.6051702,0.13946916,0.10423367,0.7473599,0.0999026,0.0,0.0,0.0,0.6,0.01539223,0.56,-0.03999996,0.0,0,cv_0
0.0,-4.6051702,0.13102949,0.15032771,1.1472814,0.22550237,0.65,1.0,0.35000002,0.4,0.025575325,0.555,-0.029999971,0.65,0,cv_0
0.0,-4.6051702,0.08212117,0.098566495,1.2002567,0.010673413,0.0,0.2,0.2,0.45,0.023579016,0.78,0.34999996,0.0,0,cv_0
0.0,-4.6051702,0.06015124,0.05205472,0.86539716,0.07444538,0.7,0.8,0.100000024,0.25,0.01578677,0.59749997,0.045000017,0.7,0,cv_0
0.11,-2.1202636,0.113466516,0.044484783,0.39205205,-0.13907883,0.3,0.0,-0.3,0.5,0.01151869,0.7425,0.495,0.3,0,cv_0
0.07,-2.5257287,0.03846189,0.09818786,2.5528603,0.001827307,0.4,0.5,0.099999994,0.1,0.0139260115,0.635,0.00999999,0.4,0,cv_0
0.0,-4.6051702,0.112747215,0.13559704,1.2026641,-0.21614057,0.6,1.0,0.39999998,0.3,0.020001091,0.5475,-0.014999986,0.6,0,cv_0
0.11,-2.1202636,0.106328495,0.009717071,0.09138727,-0.1648186,0.35,0.0,-0.35,0.25,0.028441118,0.65,0.14000005,0.35,0,cv_0
0.16,-1.7719568,0.038485654,0.0009125901,0.02371247,-0.070886135,0.2,0.0,-0.2,0.1,0.006692404,0.84000003,0.29000002,0.2,0,cv_0
0.0,-4.6051702,0.00013814453,0.00015058249,1.089957,2.5155921e-05,0.0,0.0,0.0,0.3,3.5989655e-05,0.2,0.0,0.0,0,cv_0
0.0,-4.6051702,0.00011202005,9.616474e-05,0.8583835,-6.173991e-06,0.0,0.0,0.0,0.4,2.6290189e-05,0.5975,0.795,0.0,0,cv_0
0.0,-4.6051702,0.0041641416,0.0,0.0,-0.0036179868,0.0,0.0,0.0,0.55,0.00078749796,0.8725,-0.024999976,0.0,1,cv_0
0.0,-4.6051702,0.00534141,0.1923771,36.016098,-0.0015641181,0.0,0.9,0.9,0.4,0.0010333788,0.9175,0.065,0.0,0,cv_0
0.089999996,-2.3025851,0.10431544,0.2356478,2.2589924,0.029675705,0.2,0.9,0.7,0.2,0.024532735,0.935,0.00999999,0.2,0,cv_0
0.0,-4.6051702,0.10685956,0.16722323,1.5648878,0.088702485,0.65,1.0,0.35000002,0.25,0.025206333,0.8275,0.20499998,0.65,0,cv_0
0.0,-4.6051702,0.19456859,0.01625269,0.08353193,-0.15688105,0.0,0.0,0.0,0.5,0.027969584,0.8325,0.15500003,0.0,0,cv_0
0.02,-3.506558,0.12308082,0.17532852,1.424499,0.10002828,0.3,0.8,0.5,0.15,0.034332342,0.8775,0.19500005,0.3,0,cv_0
0.0,-4.6051702,0.15352872,0.05008254,0.32620955,0.22853528,0.7,0.9,0.19999999,0.5,0.024930108,0.90250003,-0.13500005,0.7,0,cv_0
0.0,-4.6051702,0.059162725,0.1349184,2.2804625,0.049417447,0.4,1.0,0.6,0.25,0.015073685,0.9375,0.11500001,0.4,0,cv_0
0.0,-4.6051702,0.08950906,0.113365024,1.26652,0.15154783,0.65,1.0,0.35000002,0.3,0.018044965,0.885,0.060000002,0.65,0,cv_0
0.0,-4.6051702,0.11281654,0.12064395,1.0693817,0.04849988,0.0,0.0,0.0,0.65,0.024940118,0.9375,-0.034999967,0.0,0,cv_0
0.0,-4.6051702,0.13130328,0.02634135,0.20061454,-0.11347358,0.0,0.0,0.0,0.55,0.024322048,0.9075,0.055000007,0.0,0,cv_0
0.14999999,-1.8325815,0.009702938,0.0053310646,0.54942733,-0.013906134,0.25,0.0,-0.25,0.2,0.0016317375,0.89250004,0.20499998,0.25,0,cv_0
0.099999994,-2.207275,0.0018245924,0.0,0.0,-0.003873704,0.4,0.0,-0.4,0.2,0.00036709732,0.48749998,-0.575,0.4,1,cv_0
0.0,-4.6051702,0.00015432584,0.008479116,54.93938,0.00024661244,0.2,1.0,0.8,0.2,3.3950924e-05,0.7625,0.385,0.2,0,cv_0
0.0,-4.6051702,0.007792683,0.009083833,1.165686,-0.0038637791,0.0,0.0,0.0,0.75,0.0011907354,0.48000002,-0.03999999,0.0,0,cv_0
0.0,-4.6051702,0.0056690136,0.0032536795,0.57394004,-0.0032887936,0.0,0.0,0.0,0.25,0.000361447,0.73749995,0.45499998,0.0,0,cv_0
0.0,-4.6051702,0.0069630467,0.008128061,1.1673123,0.0058726943,0.5,0.7,0.19999999,0.5,0.0015304493,0.625,0.029999971,0.5,0,cv_0
0.0,-4.6051702,0.0059544826,0.008930256,1.499751,0.00923476,0.5,1.0,0.5,0.4,0.0010357224,0.83000004,0.19999999,0.5,0,cv_0
0.0,-4.6051702,0.006338988,0.0061006714,0.9624031,0.0011173447,0.0,0.0,0.0,0.4,0.0015988175,0.6875,-0.024999976,0.0,0,cv_0
0.0,-4.6051702,0.0069422475,0.00833141,1.200101,-0.00062973454,0.0,0.0,0.0,0.6,0.00083361106,0.7325,0.525,0.0,0,cv_0
0.0,-4.6051702,0.008123153,0.0049450845,0.6087634,0.0038585456,0.0,0.0,0.0,0.5,0.0009908702,0.5825,-0.125,0.0,0,cv_0
0.0,-4.6051702,0.006195823,0.0047414717,0.76526785,0.011121,0.45,0.8,0.35000002,0.4,0.0008557427,0.735,0.39,0.45,0,cv_0
0.0,-4.6051702,0.004947284,0.0072984137,1.4752336,-0.007940419,0.7,1.0,0.3,0.45,0.00064774876,0.5475,-0.07499999,0.7,0,cv_0
0.0,-4.6051702,0.0067852912,0.008214621,1.2106495,0.003202063,0.0,0.0,0.0,0.65,0.00083348,0.775,0.31,0.0,0,cv_0
0.11,-2.1202636,0.0034019,0.0006070654,0.1784484,-0.0032104102,0.25,0.0,-0.25,0.15,0.001139591,0.6,0.07999998,0.25,0,cv_0
0.0,-4.6051702,0.0090665575,0.0054773344,0.60412437,0.0028769674,0.0,0.0,0.0,0.45,0.001192764,0.825,0.23000002,0.0,0,cv_0
0.0,-4.6051702,0.006211393,0.0069565023,1.1199567,0.0027127434,0.0,0.0,0.0,0.45,0.0009877759,0.56,0.08000004,0.0,0,cv_0
0.0,-4.6051702,0.0060317866,0.007283005,1.2074355,0.004575386,0.0,0.0,0.0,0.45,0.0010172753,0.495,0.38,0.0,0,cv_0
0.01,-3.912023,0.004392231,0.007871182,1.7920653,0.0030026434,0.45,0.9,0.45,0.45,0.0009814618,0.43249997,-0.445,0.45,0,cv_0
0.0,-4.6051702,8.888407e-05,0.0,0.0,-4.8746006e-05,0.0,0.0,0.0,0.15,1.654238e-05,0.565,0.33,0.0,1,cv_0
0.0,-4.6051702,8.1483726e-05,0.00017394981,2.134518,-1.4143494e-05,0.0,0.1,0.1,0.15,1.388829e-05,0.685,0.57000005,0.0,0,cv_0
0.0,-4.6051702,0.01704039,0.061731048,3.6226292,-0.00041173596,0.0,0.8,0.8,0.25,0.0026348974,0.6225,-0.034999967,0.0,0,cv_0
0.08,-2.4079456,0.032930236,0.013592155,0.41275594,-0.022009138,0.4,0.2,-0.2,0.15,0.009804198,0.745,0.39999998,0.4,0,cv_0
0.0,-4.6051702,0.026176779,0.021791145,0.83246064,0.044435777,0.4,1.0,0.6,0.25,0.0046055755,0.49,-0.30999997,0.4,0,cv_0
0.0,-4.6051702,0.009406036,0.0089538535,0.95192534,-0.01207144,0.6,0.7,0.099999964,0.1,0.0029464394,0.8825,0.13499999,0.6,0,cv_0
0.19,-1.609438,0.00017405703,0.00010848935,0.6232619,-0.0001679075,0.05,0.0,-0.05,0.05,3.731739e-05,0.6,-0.43,0.05,0,cv_0
0.07,-2.5257287,0.00017833212,9.817086e-05,0.5504637,8.5883185e-05,0.1,0.0,-0.1,0.1,6.073929e-05,0.88,0.22000003,0.1,0,cv_0
0.0,-4.6051702,0.003319155,0.0,0.0,-0.0025610202,0.0,0.0,0.0,0.6,0.0005721777,0.8825,-0.014999986,0.0,1,cv_0
0.0,-4.6051702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0,cv_0
0.0,-4.6051702,0.0,0.047920983,4792098.5,0.0,0.0,0.3,0.3,0.0,0.0,0.2,0.0,0.0,0,cv_0
0.03,-3.218876,0.06596966,0.07796634,1.1818513,0.007039913,0.4,0.4,0.0,0.2,0.021782909,0.81500006,0.31,0.4,0,cv_0
0.08,-2.4079456,0.13972817,0.12703304,0.909144,-0.014334338,0.2,0.0,-0.2,0.4,0.027216688,0.5075,0.004999995,0.2,0,cv_0
0.04,-2.9957323,0.030999653,0.09365785,3.0212538,-0.007616518,0.35,0.8,0.45000002,0.25,0.008546891,0.565,0.73,0.35,0,cv_0
0.0,-4.6051702,0.052962262,0.10932872,2.0642753,0.0011249563,0.0,0.5,0.5,0.2,0.009322765,0.735,-0.029999971,0.0,0,cv_0
0.0,-4.6051702,0.023728428,0.10681034,4.501364,0.032544695,0.3,1.0,0.7,0.15,0.0049886787,0.85249996,0.15500003,0.3,0,cv_0
